Station, Shaft Number, Date-Time, Part, MeasType, WorkOrder, Diam Reading, Diam UL, Diam LL, Pass/Fail
Auto sanding - 01,61,10/4/2019 8:59,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.498,9.601,9.398,Passed
Auto sanding - 01,59,10/4/2019 8:59,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.564,9.601,9.398,Passed
Auto sanding - 01,60,10/4/2019 8:59,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.557,9.601,9.398,Passed
Auto sanding - 01,62,10/4/2019 8:59,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.489,9.601,9.398,Passed
Auto sanding - 01,61,10/4/2019 8:59,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.559,9.601,9.398,Passed
Auto sanding - 01,63,10/4/2019 8:59,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.502,9.601,9.398,Passed
Auto sanding - 01,62,10/4/2019 8:59,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.576,9.601,9.398,Failed
Auto sanding - 01,64,10/4/2019 8:59,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.499,9.601,9.398,Passed
Auto sanding - 01,63,10/4/2019 9:01,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.552,9.601,9.398,Passed
Auto sanding - 01,65,10/4/2019 9:01,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.522,9.601,9.398,Passed
Auto sanding - 01,64,10/4/2019 9:01,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.565,9.601,9.398,Passed
Auto sanding - 01,66,10/4/2019 9:01,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.516,9.601,9.398,Passed
Auto sanding - 01,65,10/4/2019 9:01,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.555,9.601,9.398,Passed
Auto sanding - 01,67,10/4/2019 9:01,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.503,9.601,9.398,Passed
Auto sanding - 01,66,10/4/2019 9:01,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.58,9.601,9.398,Passed
Auto sanding - 01,68,10/4/2019 9:01,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.5,9.601,9.398,Passed
Auto sanding - 01,67,10/4/2019 9:02,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.557,9.601,9.398,Passed
Auto sanding - 01,69,10/4/2019 9:02,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.497,9.601,9.398,Passed
Auto sanding - 01,70,10/4/2019 9:02,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.53,9.601,9.398,Passed
Auto sanding - 01,68,10/4/2019 9:02,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.562,9.601,9.398,Passed
Auto sanding - 01,69,10/4/2019 9:02,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.528,9.601,9.398,Passed
Auto sanding - 01,71,10/4/2019 9:02,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.49,9.601,9.398,Passed
Auto sanding - 01,70,10/4/2019 9:02,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.573,9.601,9.398,Passed
Auto sanding - 01,72,10/4/2019 9:02,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.516,9.601,9.398,Passed
Auto sanding - 01,71,10/4/2019 9:03,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.572,9.601,9.398,Passed
Auto sanding - 01,73,10/4/2019 9:03,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.523,9.601,9.398,Passed
Auto sanding - 01,72,10/4/2019 9:03,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.549,9.601,9.398,Passed
Auto sanding - 01,74,10/4/2019 9:03,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.503,9.601,9.398,Passed
Auto sanding - 01,73,10/4/2019 9:04,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.577,9.601,9.398,Passed
Auto sanding - 01,75,10/4/2019 9:04,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.513,9.601,9.398,Passed
Auto sanding - 01,74,10/4/2019 9:04,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.577,9.601,9.398,Passed
Auto sanding - 01,76,10/4/2019 9:04,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.515,9.601,9.398,Passed
Auto sanding - 01,75,10/4/2019 9:04,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.551,9.601,9.398,Passed
Auto sanding - 01,77,10/4/2019 9:04,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.503,9.601,9.398,Passed
Auto sanding - 01,76,10/4/2019 9:04,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.553,9.601,9.398,Passed
Auto sanding - 01,78,10/4/2019 9:04,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.49,9.601,9.398,Passed
Auto sanding - 01,77,10/4/2019 9:05,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.552,9.601,9.398,Passed
Auto sanding - 01,79,10/4/2019 9:05,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.491,9.601,9.398,Passed
Auto sanding - 01,80,10/4/2019 9:05,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.517,9.601,9.398,Passed
Auto sanding - 01,78,10/4/2019 9:05,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.562,9.601,9.398,Passed
Auto sanding - 01,81,10/4/2019 9:05,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.487,9.601,9.398,Passed
Auto sanding - 01,79,10/4/2019 9:05,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.553,9.601,9.398,Passed
Auto sanding - 01,80,10/4/2019 9:05,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.54,9.601,9.398,Passed
Auto sanding - 01,82,10/4/2019 9:05,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.51,9.601,9.398,Passed
Auto sanding - 01,81,10/4/2019 9:05,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.565,9.601,9.398,Passed
Auto sanding - 01,83,10/4/2019 9:05,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.527,9.601,9.398,Passed
Auto sanding - 01,82,10/4/2019 9:06,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.598,9.601,9.398,Failed
Auto sanding - 01,84,10/4/2019 9:06,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.512,9.601,9.398,Passed
Auto sanding - 01,85,10/4/2019 9:07,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.504,9.601,9.398,Passed
Auto sanding - 01,83,10/4/2019 9:07,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.551,9.601,9.398,Passed
Auto sanding - 01,86,10/4/2019 9:08,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.524,9.601,9.398,Passed
